equipment_id	runtime_payload_json
W1	"{""equipment_id"":{""type"":""ENUM"",""value"":""W1""},""quality"":{""type"":""ENUM"",""value"":""WHITE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":15,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""NONE""}},""buy_gold"":{""type"":""INT64"",""value"":600,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":240,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""82c9da2713112a93d3b163dfb058616fdc21fbcf6e2508197097661bcc9ae4d8""}}"
W2	"{""equipment_id"":{""type"":""ENUM"",""value"":""W2""},""quality"":{""type"":""ENUM"",""value"":""WHITE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":220,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""NONE""}},""buy_gold"":{""type"":""INT64"",""value"":600,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":240,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""d941476c9d7b0a59d631af558f7e2e7894b58ad341c54f0ab143dc4b8de2f660""}}"
W3	"{""equipment_id"":{""type"":""ENUM"",""value"":""W3""},""quality"":{""type"":""ENUM"",""value"":""WHITE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MOVE_SPEED_FLAT""},""amount"":{""type"":""INT64"",""value"":18,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""SHOE_ONLY""}},""buy_gold"":{""type"":""INT64"",""value"":600,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":240,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""187af42f838c78bb4d7a934fb6d39923cc609347c2a4a3c15b0044d03e6838b7""}}"
W4	"{""equipment_id"":{""type"":""ENUM"",""value"":""W4""},""quality"":{""type"":""ENUM"",""value"":""WHITE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":10,""unit"":""scalar""}},{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":100,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""NONE""}},""buy_gold"":{""type"":""INT64"",""value"":600,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":240,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""83e16827f2fc5b8c16f472ffbc2c3795f11aa3ae5737a9a5d81be4c2a9db343f""}}"
W5	"{""equipment_id"":{""type"":""ENUM"",""value"":""W5""},""quality"":{""type"":""ENUM"",""value"":""WHITE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":110,""unit"":""hp""}},{""stat"":{""type"":""ENUM"",""value"":""MOVE_SPEED_FLAT""},""amount"":{""type"":""INT64"",""value"":10,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""NONE""}},""buy_gold"":{""type"":""INT64"",""value"":600,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":240,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""90bbf6a2e8d35c8c0da65909d8866d2e2dd810be14148cfdba7159aab88b8aee""}}"
W6	"{""equipment_id"":{""type"":""ENUM"",""value"":""W6""},""quality"":{""type"":""ENUM"",""value"":""WHITE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":8,""unit"":""scalar""}},{""stat"":{""type"":""ENUM"",""value"":""MOVE_SPEED_FLAT""},""amount"":{""type"":""INT64"",""value"":10,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""NONE""}},""buy_gold"":{""type"":""INT64"",""value"":600,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":240,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""4d1ae835f3a6bd2ffc2125b5b60039bcfcfb65490226f3f1c39f10df9d47feef""}}"
B1	"{""equipment_id"":{""type"":""ENUM"",""value"":""B1""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":20,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""DAMAGE_MULTIPLIER""},""target_classes"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""CORE_BOSS"",""DRAGON"",""FLYING_MONSTER"",""LEADER"",""ORDINARY_MONSTER"",""PIG""]},""multiplier"":{""type"":""Q4"",""value_scaled_1e4"":13000,""human"":""1.3"",""unit"":""scalar""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""b1f9b98bf42a850c04b5e32fc7d883fef1ca4df2154ce873af3ca5caed219496""}}"
B2	"{""equipment_id"":{""type"":""ENUM"",""value"":""B2""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":280,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""FIXED_DAMAGE_REDUCTION""},""eligible_damage_forms"":{""type"":""ENUM"",""value"":""BASIC""},""amount"":{""type"":""INT64"",""value"":8,""unit"":""scalar""},""minimum_final_damage"":{""type"":""INT64"",""value"":1,""unit"":""hp""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""7875b987c9fef5c5e0ea07d51f9bf8e0741fa5ec31a6042b284fb41bf717f6ae""}}"
B3	"{""equipment_id"":{""type"":""ENUM"",""value"":""B3""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":200,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""PERCENT_DAMAGE_REDUCTION""},""eligible_damage_forms"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""DOT"",""SKILL""]},""remaining_multiplier"":{""type"":""Q4"",""value_scaled_1e4"":8500,""human"":""0.85"",""unit"":""ratio""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""0bca9776c7eb2cfb8d412dbed1277e6c4936978175adba9c454061e2f01a57e0""}}"
B4	"{""equipment_id"":{""type"":""ENUM"",""value"":""B4""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":200,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""FORCED_MOVEMENT_DISTANCE_MULTIPLIER""},""eligible"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""KNOCKBACK"",""PULL""]},""multiplier"":{""type"":""Q4"",""value_scaled_1e4"":5000,""human"":""0.5"",""unit"":""scalar""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""4a40b314ac5c3a8ec69f2a107c64ae395b183876dd01ff067d21f350a200b288""}}"
