paragraph_index	block_index	style	text
1	1	Title	《三命无常》工程真源定稿
2	2	Subtitle	完整玩法、数值、地图、内容、交互与工程协议的唯一开发蓝图
3	4	Normal	
4	6	Normal	
5	7	Heading 1	目录
6	8	Normal	自动目录将在打开文档时更新；下方为可点击快速目录。
7	9	List Bullet	0 真源权限与工程约定
8	10	List Bullet	1 产品定位与设计宪法
9	11	List Bullet	2 单局流程、胜负与三条命
10	12	List Bullet	3 三端输入、镜头、HUD与信息公平
11	13	List Bullet	4 英雄、等级、属性与五行
12	14	List Bullet	5 战斗结算、控制、视野与隐身
13	15	List Bullet	6 主动技能（57项）
14	16	List Bullet	7 被动技能（44项）
15	17	List Bullet	8 装备、手牌、技能书与宝石
16	18	List Bullet	9 百眼迷城地图总则与精确几何
17	19	List Bullet	10 天劫、雷眼、决赛庭与灭世雷暴
18	20	List Bullet	11 PVE生态、怪物、首领、龙王与核心BOSS
19	21	List Bullet	12 掉落、经济、商店、空投与黑山
20	22	List Bullet	13 匹配、BOT、新手与断线
21	23	List Bullet	14 局外成长、图鉴、战报与商业化
22	24	List Bullet	15 网络、后端、事务、回放与反作弊
23	25	List Bullet	16 美术、怪物形象、音频、本地化与资产规范
24	26	List Bullet	17 AI开发、性能与发布验收
25	27	List Bullet	附录A 全英雄与等级数值
26	28	List Bullet	附录B 全技能、被动与装备数据
27	29	List Bullet	附录C 全怪物与定向掉落
28	30	List Bullet	附录D 地图坐标、路网、墙体与POI
29	31	List Bullet	附录E 运行时工程字段、枚举、事件与资产台账
30	32	List Bullet	E.28–E.36 类型系统 / 公式DSL / 字段矩阵 / 被动·装备·怪物技能·召唤物强类型载荷 / H009规则 / 修订裁决记录（v4新增）
31	33	Heading 1	0 真源权限与工程约定
32	35	Normal	
33	37	Heading 2	0.1 稳定规则域ID与AI开发入口
34	39	Normal	唯一开发顺序：规则内核→共享类型与闭合枚举→地图物理层→战斗→PVE→经济→UI→网络与后端→局外→自动测试与发布门槛。任何后续阶段不得反向发明前序规则。
35	40	Heading 2	0.2 封闭术语表
36	42	Normal	
37	43	Heading 1	1 产品定位与设计宪法
38	45	Normal	
39	46	Heading 1	2 单局流程、胜负与三条命
40	48	Normal	
41	49	Heading 2	2.1 等级与经验
42	51	Normal	
43	52	Normal	保底经验：每10秒获得10经验；ALIVE、TRUE_DEATH_RESOLVING、SOUL_FLIGHT、REVIVE_PROTECTION均计时。经验溢出可连续升级。
44	53	Heading 2	2.2 致死链、掉落与复活
45	55	Normal	
46	56	List Bullet	只有所有致死保护都失败才消耗一条命；假死、九转金丹和被动复活均不触发真死掉落与全局重置。
47	57	List Bullet	第1、2次真死：掉落全部手牌装备，身穿3件保留；第3次真死：手牌和身穿3件全部公开落地；金币永不掉落。
48	58	List Bullet	第1、2次真死使当前主动变为READY；被动内置CD继续计时且不因死亡清零。临时增减益、DoT、控制、召唤物、陷阱、冰墙和装备临时层清除；等级、经验、金币、被动等级、装备及明确声明的永久层保留。第3次真死淘汰后不再创建技能运行时状态。
49	59	List Bullet	真死结算后成为无碰撞无敌灵魂，以18m/s飞往分阶段复活候选池选出的R点。基础飞行时长clamp(3,直线距离/18,10)秒；到点重验，不合法则按同一确定性评分转向次选，额外最多3秒，随后使用本章规定的安全回退点。
50	60	List Bullet	复活为满生命并获得3秒保护：可移动、可进入伏石，但不能攻击、施法、拾取、购物、开箱或赌博；任何进攻/交互意图先解除保护再重验同一请求。
51	61	List Bullet	怪物最后一击玩家永远记怪物击杀，玩家不获奖励；所有者死亡后的已释放弹道继续结算并保留原所有者归属。
52	62	Heading 2	2.3 玩家击杀奖励
53	64	Normal	
54	65	Heading 1	3 三端输入、镜头、HUD与信息公平
55	67	Normal	
56	68	List Bullet	逻辑战斗视口固定16:9；宽屏只扩展装饰，不增加敌情、锁定距离或小地图信息。
57	69	List Bullet	基础视野30米，单位锁定必须同时满足直接视线和合法射程；长距瞄准镜头前移最多20米，只给预览，不给额外敌情。
58	70	List Bullet	固定斜俯视镜头，不允许自由旋转或拖屏侦察。UI事件必须吞掉世界点击，避免点按钮误放技能。
59	71	List Bullet	索敌扇区全角24°；并列顺序：最近有效伤害过自己的目标→屏幕夹角最小→Nav距离最短→实体ID。
60	72	List Bullet	任何重要信息不得只靠颜色或声音；五行至少使用符号+文字+配色+阵纹，CD使用数字+扇形遮罩。
61	73	Heading 2	3.1 1280×720逻辑HUD
62	75	Normal	
63	76	Heading 1	4 英雄、等级、属性与五行
64	78	Normal	
65	80	Normal	
66	81	Heading 1	5 战斗结算、控制、视野与隐身
67	82	Heading 2	5.1 普攻
68	84	Normal	
69	85	Heading 2	5.2 伤害结算顺序
70	87	Normal	
71	88	Heading 2	5.3 伤害类型
72	90	Normal	
73	91	Heading 2	5.4 控制与强制位移
74	93	Normal	
75	94	Heading 2	5.5 战争迷雾、伏石与揭露
76	96	Normal	
77	97	List Bullet	玩家对玩家造成实际生命或护盾伤害时，攻击者向该受击者暴露精确小地图位置3秒；只提供小地图位置，不提供隔墙锁定，持续时间可刷新但复制频率最多1Hz。
78	98	List Bullet	伏石为石体周围2米非方向环带：圈外看不见圈内，同一环带互见；普攻释放、敌对主动提交或承受实际生命/护盾伤害会破隐；拾取不破隐。
79	99	List Bullet	伏石、主动隐身、装备隐身都属于STEALTH；普通战争迷雾与烟雾遮挡不等同隐身。隐身不能被直接锁定，但实体碰撞和盲放范围技能仍有效。
