table_index	block_index	rows	columns_max	preceding_context	header_preview	cell_count
1	3	8	4	《三命无常》工程真源定稿 || 完整玩法、数值、地图、内容、交互与工程协议的唯一开发蓝图	项目 | 定案值 | 项目 | 定案值	32
2	5	1	1	《三命无常》工程真源定稿 || 完整玩法、数值、地图、内容、交互与工程协议的唯一开发蓝图	唯一性声明｜运行时唯一值只存在于附录E中完整命名空间化的工程键；正文、玩家文案和汇总表均为同一工程键生成的只读投影。构建器发现投影与工程键不一致时必须失败，禁止人工二选一。	1
3	34	1	1	附录E 运行时工程字段、枚举、事件与资产台账 || E.28–E.36 类型系统 / 公式DSL / 字段矩阵 / 被动·装备·怪物技能·召唤物强类型载荷 / H009规则 / 修订裁决记录（v4新增） || 0 真源权限与工程约定	执行原则｜客户端、服务端、数据生成器、BOT、回放和测试只读取附录E导出的规则快照；正文解释设计意图，资产表指导内容生产，二者不得直接驱动运行时。空值必须显式写为NONE、[]、NOT_APPLICABLE或INHERIT_DEFAULT。	1
4	36	10	2	附录E 运行时工程字段、枚举、事件与资产台账 || E.28–E.36 类型系统 / 公式DSL / 字段矩阵 / 被动·装备·怪物技能·召唤物强类型载荷 / H009规则 / 修订裁决记录（v4新增） || 0 真源权限与工程约定	约定 | 唯一规则	20
5	38	17	3	E.28–E.36 类型系统 / 公式DSL / 字段矩阵 / 被动·装备·怪物技能·召唤物强类型载荷 / H009规则 / 修订裁决记录（v4新增） || 0 真源权限与工程约定 || 0.1 稳定规则域ID与AI开发入口	规则域ID | 唯一责任 | 运行时权威	51
6	41	10	3	0.1 稳定规则域ID与AI开发入口 || 唯一开发顺序：规则内核→共享类型与闭合枚举→地图物理层→战斗→PVE→经济→UI→网络与后端→局外→自动测试与发布门槛。任何后续阶段不得反向发明前序规则。 || 0.2 封闭术语表	术语 | 工程键 | 唯一含义	30
7	44	9	2	唯一开发顺序：规则内核→共享类型与闭合枚举→地图物理层→战斗→PVE→经济→UI→网络与后端→局外→自动测试与发布门槛。任何后续阶段不得反向发明前序规则。 || 0.2 封闭术语表 || 1 产品定位与设计宪法	支柱 | 定案	18
8	47	7	2	0.2 封闭术语表 || 1 产品定位与设计宪法 || 2 单局流程、胜负与三条命	项目 | 规则	14
9	50	16	3	1 产品定位与设计宪法 || 2 单局流程、胜负与三条命 || 2.1 等级与经验	等级 | 升到下一级经验 | 累计经验	48
10	54	9	2	2.1 等级与经验 || 保底经验：每10秒获得10经验；ALIVE、TRUE_DEATH_RESOLVING、SOUL_FLIGHT、REVIVE_PROTECTION均计时。经验溢出可连续升级。 || 2.2 致死链、掉落与复活	顺位 | 处理	18
11	63	7	2	复活为满生命并获得3秒保护：可移动、可进入伏石，但不能攻击、施法、拾取、购物、开箱或赌博；任何进攻/交互意图先解除保护再重验同一请求。 || 怪物最后一击玩家永远记怪物击杀，玩家不获奖励；所有者死亡后的已释放弹道继续结算并保留原所有者归属。 || 2.3 玩家击杀奖励	项目 | 公式	14
12	66	7	3	怪物最后一击玩家永远记怪物击杀，玩家不获奖励；所有者死亡后的已释放弹道继续结算并保留原所有者归属。 || 2.3 玩家击杀奖励 || 3 三端输入、镜头、HUD与信息公平	动作 | 手机 / 平板 | Windows PC	21
13	74	70	2	索敌扇区全角24°；并列顺序：最近有效伤害过自己的目标→屏幕夹角最小→Nav距离最短→实体ID。 || 任何重要信息不得只靠颜色或声音；五行至少使用符号+文字+配色+阵纹，CD使用数字+扇形遮罩。 || 3.1 1280×720逻辑HUD	工程字段 | 唯一值 / 执行语义	140
14	77	1	1	任何重要信息不得只靠颜色或声音；五行至少使用符号+文字+配色+阵纹，CD使用数字+扇形遮罩。 || 3.1 1280×720逻辑HUD || 4 英雄、等级、属性与五行	主动成长铁律｜主动技能没有技能等级。所有固定伤害、固定治疗、固定护盾、固定召唤属性、百分比、CD、距离、范围与时长终局不变；只有技能明确声明的属性系数读取施放时当前面板属性。	1
15	79	9	2	任何重要信息不得只靠颜色或声音；五行至少使用符号+文字+配色+阵纹，CD使用数字+扇形遮罩。 || 3.1 1280×720逻辑HUD || 4 英雄、等级、属性与五行	属性处理 | 规则	18
16	83	7	2	4 英雄、等级、属性与五行 || 5 战斗结算、控制、视野与隐身 || 5.1 普攻	项目 | 规则	14
17	86	15	2	5 战斗结算、控制、视野与隐身 || 5.1 普攻 || 5.2 伤害结算顺序	顺序 | 步骤	30
18	89	8	7	5.1 普攻 || 5.2 伤害结算顺序 || 5.3 伤害类型	类型 | 暴击 | 五行 | 比例减伤 | 固定减伤 | 护盾 | 无敌	56
19	92	14	2	5.2 伤害结算顺序 || 5.3 伤害类型 || 5.4 控制与强制位移	项目 | 规则	28
20	95	6	3	5.3 伤害类型 || 5.4 控制与强制位移 || 5.5 战争迷雾、伏石与揭露	信息态 | 可锁定 | 表现与边界	18
21	108	58	7	通用主动落地后公开争夺；替换需确认，新主动从完整CD开始；太白换英雄得到新专属时READY；前两次真死复活后当前主动READY。 || 所有57个主动的level_scaling=NONE；运行时只读取工程参数，绝不解析展示文案。 || 施法非法时沿同方向缩短至最近合法点；仍非法则不施放、不进入CD。动态墙体及所有通行合法性只由真实碰撞几何和持续时间决定。	ID | 名称 | 类型 | 归属 | CD(s) | 瞄准与几何 | 完整机制	406
22	115	45	6	同名5级书不可拾取；四槽满时拾取不同名书必须明确选择被替换槽，取消则书留在地面公开。 || 技能宝石进入HUD宝石仓，不占手牌且不能主动丢地；可自由分配给未满级被动；全部被动5级时拒绝拾取或购买。 || 真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。	ID | 名称 | 类别 | 触发 | 玩家说明 | 工程数值(L1–L5)	270
23	118	7	2	技能宝石进入HUD宝石仓，不占手牌且不能主动丢地；可自由分配给未满级被动；全部被动5级时拒绝拾取或购买。 || 真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。 || 8 装备、手牌、技能书与宝石	容量 | 规则	14
24	120	49	8	技能宝石进入HUD宝石仓，不占手牌且不能主动丢地；可自由分配给未满级被动；全部被动5级时拒绝拾取或购买。 || 真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。 || 8 装备、手牌、技能书与宝石	ID | 名称 | 品质 | 属性 | 效果 | 买价 | 卖价 | 商店	392
25	123	13	2	真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。 || 8 装备、手牌、技能书与宝石 || 9 百眼迷城地图总则与精确几何	项目 | 定案	26
26	126	8	2	8 装备、手牌、技能书与宝石 || 9 百眼迷城地图总则与精确几何 || 9.1 六区职责	区块 | 主体验与路线职责	16
27	128	7	4	9 百眼迷城地图总则与精确几何 || 9.1 六区职责 || 9.1a 六区可计算边界	region_id | 中文名 | 共享边界路径 | 闭合多边形顶点（米）	28
28	130	7	4	9.1 六区职责 || 9.1a 六区可计算边界 || 共享边界路径为唯一权威几何；六区多边形仅由外边界段与下表路径拼接生成。构建器必须验证：每条路径顶点在两侧多边形中按序完整出现、六区并集覆盖全图无缝隙、任意两区交集面积为0。	path_id | 相邻区对 | 顶点数 | 有序顶点（米，自圆心向外）	28
29	132	8	8	9.1a 六区可计算边界 || 共享边界路径为唯一权威几何；六区多边形仅由外边界段与下表路径拼接生成。构建器必须验证：每条路径顶点在两侧多边形中按序完整出现、六区并集覆盖全图无缝隙、任意两区交集面积为0。 || 9.1b 三维地表与物体行为矩阵	对象类 | 移动 | 视线 | 弹道 | 飞行 | 闪现 | 可破坏 | 唯一工程语义	64
30	148	11	5	出生层：40宏区与80微位。 || 伏石层：世界与三庭备选伏石关系。 || 10 天劫、雷眼、决赛庭与灭世雷暴	时间 | 阶段 | 安全半径 | 圈心 | 事件	55
31	150	7	2	出生层：40宏区与80微位。 || 伏石层：世界与三庭备选伏石关系。 || 10 天劫、雷眼、决赛庭与灭世雷暴	类型 | 定案规则	14
32	155	1	1	10 天劫、雷眼、决赛庭与灭世雷暴 || 天劫阶段覆盖与圈心迁移。 || 11 PVE生态、怪物、首领、龙王与核心BOSS	PVE调性｜怪物是“有牙的资源”：少量小怪可稳定处理，拉十几二十只会因近战围位、远程和错帧攻击迅速变危险；AOE构筑用更高瞬时风险换更快清群，但PVE不压过玩家之间的主戏。	1
33	157	9	3	10 天劫、雷眼、决赛庭与灭世雷暴 || 天劫阶段覆盖与圈心迁移。 || 11 PVE生态、怪物、首领、龙王与核心BOSS	机械层级 | 同时存量 | 定位	27
34	168	23	14	普通/飞行怪攻击不随时间增长；新刷生命按0/5/10/15分钟快照×1.00/1.05/1.10/1.15。首领、龙王、核心按各自HP/攻击/CD曲线成长。 || 天劫吞没刷新节点即停止后续刷新；圈外存活怪连续覆盖60秒后消散，不迁入内圈堆积。 || 11.2 机械原型完整表	ID | 名称 | 层级 | 五行 | HP | 攻 | 攻速 | 移速 | 射程 | 发现 | 重生 | 前摇 | 后摇 | 弹速	322
35	170	23	12	普通/飞行怪攻击不随时间增长；新刷生命按0/5/10/15分钟快照×1.00/1.05/1.10/1.15。首领、龙王、核心按各自HP/攻击/CD曲线成长。 || 天劫吞没刷新节点即停止后续刷新；圈外存活怪连续覆盖60秒后消散，不迁入内圈堆积。 || 11.2 机械原型完整表	ID | 碰撞r | 碰撞h | 转向°/s | 加速s | 脱链边界 | HP阶段倍率 | 攻击阶段倍率 | 伤害形态 | 五行规则 | 命中类 | 归属	276
36	173	9	11	天劫吞没刷新节点即停止后续刷新；圈外存活怪连续覆盖60秒后消散，不迁入内圈堆积。 || 11.2 机械原型完整表 || 11.2.1 怪物技能逐条工程表	技能ID | 使用者 | CD | 前摇 | 形状 | 伤害 | 附加规则 | 形态 | 五行 | 命中 | 归属	99
37	176	7	3	11.2 机械原型完整表 || 11.2.1 怪物技能逐条工程表 || 11.3 核心BOSS六种签名机制	ID | 名称 | 完整签名机制	21
38	185	11	8	核心BOSS拥有10米真视并共享给区域内玩家，死亡后10秒仍生效，防止隐身者无风险抢装，但不禁止其隐身或拾取。 || 12 掉落、经济、商店、空投与黑山 || 12.1 怪物掉落	来源 | 金币 | 经验 | 书 | 宝石 | 装备 | 通用主动 | G10	88
39	192	11	3	定向掉落是隐藏规律：技能书有50%概率进入怪物倾向池，装备有35%概率进入倾向池；只改变同品质合法ID权重，不改变掉率和品质率；无合法项回退全局合法池。 || 金箍棒G10只由核心BOSS独立5%额外掉落；龙王、普通金装池、黑山和商店均不生成G10。 || 12.2 地面物、拾取与遗宝堆	类别 | 安全区寿命 | 天劫规则	33
40	199	7	4	地面记录无硬删除上限；8192条报警、256复制簇软上限只触发分页和LOD，绝不因性能压力删装备或技能书。 || 宝石进入HUD仓，不占格、不落地；技能书被学习即消耗；装备只能在商店卖出并销毁，不回到货架。 || 12.3 六商店数量、时间窗与库存	实例 | 类型 | 营业半开窗口 | 每窗开启事件	28
41	201	5	3	地面记录无硬删除上限；8192条报警、256复制簇软上限只触发分页和LOD，绝不因性能压力删装备或技能书。 || 宝石进入HUD仓，不占格、不落地；技能书被学习即消耗；装备只能在商店卖出并销毁，不回到货架。 || 12.3 六商店数量、时间窗与库存	店型 | 单实例单轮容量 | 价格与规则	15
42	214	5	4	提交顺序：重验→扣1500→启动120秒CD→清旧主动所有者绑定实体→替换英雄身体与五行→保持当前生命百分比至少1→保留等级/经验/金币/被动/宝石/装备/永久层和运行中的状态计时→换新专属并设READY→记账。 || 换英雄不免费治疗、不净化负面状态。同英雄换回合法，但保留当前专属主动剩余CD；只有换成不同英雄时，新英雄专属主动设为READY。 || 12.5 黑山老妖	赌局 | 普通 大赢/平/亏 | P10 大赢/平/亏 | 输入与结果	20
