项目	规则
hard_control_same_kind	KEEP_LATER_END_TIME; DO_NOT_ADD_DURATIONS
different_hard_controls	COEXIST; EFFECTIVE_RESTRICTIONS_ARE_UNION
slow	ONLY_STRONGEST_PERCENT_APPLIES; DURATION_TRACKED_PER_SOURCE
damage_reduction	MULTIPLICATIVE_REMAINING_UNLESS_EXPLICIT_FIXED
silence	BLOCK_ACTIVE_CAST_START; DOES_NOT_CANCEL_ALREADY_COMMITTED_INSTANT_CAST
root	BLOCK_TRANSLATION_AND_DASH; BASIC_AND_ACTIVE_CASTS_STILL_ALLOWED_UNLESS ALSO_SILENCED
invulnerable	DAMAGE_ZERO; TARGETABILITY_PRESERVED_UNLESS SKILL SAYS OTHERWISE
forced_movement_into_solid	STOP_AT_LAST_LEGAL_CAPSULE_POSITION
hard_control_taxonomy	hard_reducible=STUN / FREEZE / PETRIFY / ROOT / FEAR / TRANSFORM / KNOCKUP；soft_not_reduced_by_P18=SLOW / SILENCE；immunity_and_cleanse_are_not_duration_resistance=是
target_duration_resistance	SAME_CATEGORY_TAKE_STRONGEST_LOWEST_MULTIPLIER; NEVER_MULTIPLY
duration_resolution_order	IF_IMMUNE_OR_CLEANSED_THEN_ZERO_ELSE_MAX(EFFECT_MINIMUM,(BASE_PLUS_SOURCE_FLAT_EXTENSION)*TARGET_STRONGEST_MULTIPLIER)
forced_movement_resistance	SAME_CATEGORY_TAKE_STRONGEST_LOWEST_MULTIPLIER; B4_AND_P18_NEVER_MULTIPLY
control_application_snapshot	SOURCE_EXTENSION_AND_TARGET_RESISTANCE_SNAPSHOT_AT_APPLICATION; UNEQUIP_DOES_NOT_RETROACTIVELY_CHANGE_RUNNING_CONTROL
