项目	定案
世界	百眼迷城；非对称复合区块网络；世界原点=几何中心
尺度	等效跨度840米；可玩包围盒约839×685米；初始安全半径520米覆盖最远边界512.2米
路网	192节点、405条可走边；主路12m、连路7m、风险路4.5m、庭/斗场8m、猪窝5m、商店/出生支路6m；连续无决策长廊≤60m
墙体	47个实体多边形；道路和墙从同一几何生成，Nav边不得穿墙。所有飞行、闪现与投射物只读真实碰撞体和高度。
高台	3处可走顶面；实体侧壁；每处恰有2条线性坡道；提供信息优势但不放永久高价值资源
区域	断金坊、蛛丝峡、龙脊渊、百足城、烬水市、迷魂田；中央万劫三庭=惊蛰庭、玄冥庭、焚天庭
出生	40宏区×2微位=80；每局30个不同宏区，每区选1微位；每宏区最多1人
资源	108普通/飞行怪槽；12猪窝选8；5龙宫选2；4首领场；3核心庭同屏1核心；167宝箱点
商店	16宏区×3微点=48锚点；营业实例按时间窗迁移
伏石	30个备选点（24世界+6三庭），每局启用19；先锁8个活跃猪窝关系点、4关键岔路、每庭二选一，再随机补足
六区工程边界	六个沿道路、墙体和外边界制作的互斥闭合多边形；共享边界只存一份路径；所有坐标实体导入时物化唯一region_id
三维地表	地面、坡道、高台顶面均为可走三角面；Z由表面重心插值；所有墙、动态墙和边界使用真实3D挤出体统一判定移动、视线、弹道、飞行与闪现
