block_index	kind	item_index	style_or_shape	preceding_context	text_or_preview
1	paragraph	1	Title		《三命无常》工程真源定稿
2	paragraph	2	Subtitle		完整玩法、数值、地图、内容、交互与工程协议的唯一开发蓝图
3	table	1	8x4	《三命无常》工程真源定稿 || 完整玩法、数值、地图、内容、交互与工程协议的唯一开发蓝图	项目 | 定案值 | 项目 | 定案值
4	paragraph	3	Normal		
5	table	2	1x1	《三命无常》工程真源定稿 || 完整玩法、数值、地图、内容、交互与工程协议的唯一开发蓝图	唯一性声明｜运行时唯一值只存在于附录E中完整命名空间化的工程键；正文、玩家文案和汇总表均为同一工程键生成的只读投影。构建器发现投影与工程键不一致时必须失败，禁止人工二选一。
6	paragraph	4	Normal		
7	paragraph	5	Heading 1		目录
8	paragraph	6	Normal		自动目录将在打开文档时更新；下方为可点击快速目录。
9	paragraph	7	List Bullet		0 真源权限与工程约定
10	paragraph	8	List Bullet		1 产品定位与设计宪法
11	paragraph	9	List Bullet		2 单局流程、胜负与三条命
12	paragraph	10	List Bullet		3 三端输入、镜头、HUD与信息公平
13	paragraph	11	List Bullet		4 英雄、等级、属性与五行
14	paragraph	12	List Bullet		5 战斗结算、控制、视野与隐身
15	paragraph	13	List Bullet		6 主动技能（57项）
16	paragraph	14	List Bullet		7 被动技能（44项）
17	paragraph	15	List Bullet		8 装备、手牌、技能书与宝石
18	paragraph	16	List Bullet		9 百眼迷城地图总则与精确几何
19	paragraph	17	List Bullet		10 天劫、雷眼、决赛庭与灭世雷暴
20	paragraph	18	List Bullet		11 PVE生态、怪物、首领、龙王与核心BOSS
21	paragraph	19	List Bullet		12 掉落、经济、商店、空投与黑山
22	paragraph	20	List Bullet		13 匹配、BOT、新手与断线
23	paragraph	21	List Bullet		14 局外成长、图鉴、战报与商业化
24	paragraph	22	List Bullet		15 网络、后端、事务、回放与反作弊
25	paragraph	23	List Bullet		16 美术、怪物形象、音频、本地化与资产规范
26	paragraph	24	List Bullet		17 AI开发、性能与发布验收
27	paragraph	25	List Bullet		附录A 全英雄与等级数值
28	paragraph	26	List Bullet		附录B 全技能、被动与装备数据
29	paragraph	27	List Bullet		附录C 全怪物与定向掉落
30	paragraph	28	List Bullet		附录D 地图坐标、路网、墙体与POI
31	paragraph	29	List Bullet		附录E 运行时工程字段、枚举、事件与资产台账
32	paragraph	30	List Bullet		E.28–E.36 类型系统 / 公式DSL / 字段矩阵 / 被动·装备·怪物技能·召唤物强类型载荷 / H009规则 / 修订裁决记录（v4新增）
33	paragraph	31	Heading 1		0 真源权限与工程约定
34	table	3	1x1	附录E 运行时工程字段、枚举、事件与资产台账 || E.28–E.36 类型系统 / 公式DSL / 字段矩阵 / 被动·装备·怪物技能·召唤物强类型载荷 / H009规则 / 修订裁决记录（v4新增） || 0 真源权限与工程约定	执行原则｜客户端、服务端、数据生成器、BOT、回放和测试只读取附录E导出的规则快照；正文解释设计意图，资产表指导内容生产，二者不得直接驱动运行时。空值必须显式写为NONE、[]、NOT_APPLICABLE或INHERIT_DEFAULT。
35	paragraph	32	Normal		
36	table	4	10x2	附录E 运行时工程字段、枚举、事件与资产台账 || E.28–E.36 类型系统 / 公式DSL / 字段矩阵 / 被动·装备·怪物技能·召唤物强类型载荷 / H009规则 / 修订裁决记录（v4新增） || 0 真源权限与工程约定	约定 | 唯一规则
37	paragraph	33	Heading 2		0.1 稳定规则域ID与AI开发入口
38	table	5	17x3	E.28–E.36 类型系统 / 公式DSL / 字段矩阵 / 被动·装备·怪物技能·召唤物强类型载荷 / H009规则 / 修订裁决记录（v4新增） || 0 真源权限与工程约定 || 0.1 稳定规则域ID与AI开发入口	规则域ID | 唯一责任 | 运行时权威
39	paragraph	34	Normal		唯一开发顺序：规则内核→共享类型与闭合枚举→地图物理层→战斗→PVE→经济→UI→网络与后端→局外→自动测试与发布门槛。任何后续阶段不得反向发明前序规则。
40	paragraph	35	Heading 2		0.2 封闭术语表
41	table	6	10x3	0.1 稳定规则域ID与AI开发入口 || 唯一开发顺序：规则内核→共享类型与闭合枚举→地图物理层→战斗→PVE→经济→UI→网络与后端→局外→自动测试与发布门槛。任何后续阶段不得反向发明前序规则。 || 0.2 封闭术语表	术语 | 工程键 | 唯一含义
42	paragraph	36	Normal		
43	paragraph	37	Heading 1		1 产品定位与设计宪法
44	table	7	9x2	唯一开发顺序：规则内核→共享类型与闭合枚举→地图物理层→战斗→PVE→经济→UI→网络与后端→局外→自动测试与发布门槛。任何后续阶段不得反向发明前序规则。 || 0.2 封闭术语表 || 1 产品定位与设计宪法	支柱 | 定案
45	paragraph	38	Normal		
46	paragraph	39	Heading 1		2 单局流程、胜负与三条命
47	table	8	7x2	0.2 封闭术语表 || 1 产品定位与设计宪法 || 2 单局流程、胜负与三条命	项目 | 规则
48	paragraph	40	Normal		
49	paragraph	41	Heading 2		2.1 等级与经验
50	table	9	16x3	1 产品定位与设计宪法 || 2 单局流程、胜负与三条命 || 2.1 等级与经验	等级 | 升到下一级经验 | 累计经验
51	paragraph	42	Normal		
52	paragraph	43	Normal		保底经验：每10秒获得10经验；ALIVE、TRUE_DEATH_RESOLVING、SOUL_FLIGHT、REVIVE_PROTECTION均计时。经验溢出可连续升级。
53	paragraph	44	Heading 2		2.2 致死链、掉落与复活
54	table	10	9x2	2.1 等级与经验 || 保底经验：每10秒获得10经验；ALIVE、TRUE_DEATH_RESOLVING、SOUL_FLIGHT、REVIVE_PROTECTION均计时。经验溢出可连续升级。 || 2.2 致死链、掉落与复活	顺位 | 处理
55	paragraph	45	Normal		
56	paragraph	46	List Bullet		只有所有致死保护都失败才消耗一条命；假死、九转金丹和被动复活均不触发真死掉落与全局重置。
57	paragraph	47	List Bullet		第1、2次真死：掉落全部手牌装备，身穿3件保留；第3次真死：手牌和身穿3件全部公开落地；金币永不掉落。
58	paragraph	48	List Bullet		第1、2次真死使当前主动变为READY；被动内置CD继续计时且不因死亡清零。临时增减益、DoT、控制、召唤物、陷阱、冰墙和装备临时层清除；等级、经验、金币、被动等级、装备及明确声明的永久层保留。第3次真死淘汰后不再创建技能运行时状态。
59	paragraph	49	List Bullet		真死结算后成为无碰撞无敌灵魂，以18m/s飞往分阶段复活候选池选出的R点。基础飞行时长clamp(3,直线距离/18,10)秒；到点重验，不合法则按同一确定性评分转向次选，额外最多3秒，随后使用本章规定的安全回退点。
60	paragraph	50	List Bullet		复活为满生命并获得3秒保护：可移动、可进入伏石，但不能攻击、施法、拾取、购物、开箱或赌博；任何进攻/交互意图先解除保护再重验同一请求。
61	paragraph	51	List Bullet		怪物最后一击玩家永远记怪物击杀，玩家不获奖励；所有者死亡后的已释放弹道继续结算并保留原所有者归属。
62	paragraph	52	Heading 2		2.3 玩家击杀奖励
63	table	11	7x2	复活为满生命并获得3秒保护：可移动、可进入伏石，但不能攻击、施法、拾取、购物、开箱或赌博；任何进攻/交互意图先解除保护再重验同一请求。 || 怪物最后一击玩家永远记怪物击杀，玩家不获奖励；所有者死亡后的已释放弹道继续结算并保留原所有者归属。 || 2.3 玩家击杀奖励	项目 | 公式
64	paragraph	53	Normal		
65	paragraph	54	Heading 1		3 三端输入、镜头、HUD与信息公平
66	table	12	7x3	怪物最后一击玩家永远记怪物击杀，玩家不获奖励；所有者死亡后的已释放弹道继续结算并保留原所有者归属。 || 2.3 玩家击杀奖励 || 3 三端输入、镜头、HUD与信息公平	动作 | 手机 / 平板 | Windows PC
67	paragraph	55	Normal		
68	paragraph	56	List Bullet		逻辑战斗视口固定16:9；宽屏只扩展装饰，不增加敌情、锁定距离或小地图信息。
69	paragraph	57	List Bullet		基础视野30米，单位锁定必须同时满足直接视线和合法射程；长距瞄准镜头前移最多20米，只给预览，不给额外敌情。
70	paragraph	58	List Bullet		固定斜俯视镜头，不允许自由旋转或拖屏侦察。UI事件必须吞掉世界点击，避免点按钮误放技能。
71	paragraph	59	List Bullet		索敌扇区全角24°；并列顺序：最近有效伤害过自己的目标→屏幕夹角最小→Nav距离最短→实体ID。
72	paragraph	60	List Bullet		任何重要信息不得只靠颜色或声音；五行至少使用符号+文字+配色+阵纹，CD使用数字+扇形遮罩。
73	paragraph	61	Heading 2		3.1 1280×720逻辑HUD
74	table	13	70x2	索敌扇区全角24°；并列顺序：最近有效伤害过自己的目标→屏幕夹角最小→Nav距离最短→实体ID。 || 任何重要信息不得只靠颜色或声音；五行至少使用符号+文字+配色+阵纹，CD使用数字+扇形遮罩。 || 3.1 1280×720逻辑HUD	工程字段 | 唯一值 / 执行语义
75	paragraph	62	Normal		
76	paragraph	63	Heading 1		4 英雄、等级、属性与五行
77	table	14	1x1	任何重要信息不得只靠颜色或声音；五行至少使用符号+文字+配色+阵纹，CD使用数字+扇形遮罩。 || 3.1 1280×720逻辑HUD || 4 英雄、等级、属性与五行	主动成长铁律｜主动技能没有技能等级。所有固定伤害、固定治疗、固定护盾、固定召唤属性、百分比、CD、距离、范围与时长终局不变；只有技能明确声明的属性系数读取施放时当前面板属性。
78	paragraph	64	Normal		
79	table	15	9x2	任何重要信息不得只靠颜色或声音；五行至少使用符号+文字+配色+阵纹，CD使用数字+扇形遮罩。 || 3.1 1280×720逻辑HUD || 4 英雄、等级、属性与五行	属性处理 | 规则
80	paragraph	65	Normal		
81	paragraph	66	Heading 1		5 战斗结算、控制、视野与隐身
82	paragraph	67	Heading 2		5.1 普攻
83	table	16	7x2	4 英雄、等级、属性与五行 || 5 战斗结算、控制、视野与隐身 || 5.1 普攻	项目 | 规则
84	paragraph	68	Normal		
85	paragraph	69	Heading 2		5.2 伤害结算顺序
86	table	17	15x2	5 战斗结算、控制、视野与隐身 || 5.1 普攻 || 5.2 伤害结算顺序	顺序 | 步骤
87	paragraph	70	Normal		
88	paragraph	71	Heading 2		5.3 伤害类型
89	table	18	8x7	5.1 普攻 || 5.2 伤害结算顺序 || 5.3 伤害类型	类型 | 暴击 | 五行 | 比例减伤 | 固定减伤 | 护盾 | 无敌
90	paragraph	72	Normal		
91	paragraph	73	Heading 2		5.4 控制与强制位移
92	table	19	14x2	5.2 伤害结算顺序 || 5.3 伤害类型 || 5.4 控制与强制位移	项目 | 规则
93	paragraph	74	Normal		
94	paragraph	75	Heading 2		5.5 战争迷雾、伏石与揭露
95	table	20	6x3	5.3 伤害类型 || 5.4 控制与强制位移 || 5.5 战争迷雾、伏石与揭露	信息态 | 可锁定 | 表现与边界
96	paragraph	76	Normal		
97	paragraph	77	List Bullet		玩家对玩家造成实际生命或护盾伤害时，攻击者向该受击者暴露精确小地图位置3秒；只提供小地图位置，不提供隔墙锁定，持续时间可刷新但复制频率最多1Hz。
98	paragraph	78	List Bullet		伏石为石体周围2米非方向环带：圈外看不见圈内，同一环带互见；普攻释放、敌对主动提交或承受实际生命/护盾伤害会破隐；拾取不破隐。
99	paragraph	79	List Bullet		伏石、主动隐身、装备隐身都属于STEALTH；普通战争迷雾与烟雾遮挡不等同隐身。隐身不能被直接锁定，但实体碰撞和盲放范围技能仍有效。
100	paragraph	80	List Bullet		照妖镜20米/3秒、照妖珠20米常驻、核心BOSS真视眼10米可揭露；墙体仍阻挡揭露与锁定。
101	paragraph	81	List Bullet		核心BOSS真视眼共享给10米内所有玩家；BOSS死亡后在死亡点保留10秒。
102	paragraph	82	List Bullet		灭世雷暴不会强制显形，也不会禁用伏石、隐身、治疗或护盾。
103	paragraph	83	Heading 1		6 主动技能（57项）
104	paragraph	84	List Bullet		每名英雄出生自带1个专属主动；地图另有19个通用主动。任意时刻仅持有1个主动。
105	paragraph	85	List Bullet		通用主动落地后公开争夺；替换需确认，新主动从完整CD开始；太白换英雄得到新专属时READY；前两次真死复活后当前主动READY。
106	paragraph	86	List Bullet		所有57个主动的level_scaling=NONE；运行时只读取工程参数，绝不解析展示文案。
107	paragraph	87	List Bullet		施法非法时沿同方向缩短至最近合法点；仍非法则不施放、不进入CD。动态墙体及所有通行合法性只由真实碰撞几何和持续时间决定。
108	table	21	58x7	通用主动落地后公开争夺；替换需确认，新主动从完整CD开始；太白换英雄得到新专属时READY；前两次真死复活后当前主动READY。 || 所有57个主动的level_scaling=NONE；运行时只读取工程参数，绝不解析展示文案。 || 施法非法时沿同方向缩短至最近合法点；仍非法则不施放、不进入CD。动态墙体及所有通行合法性只由真实碰撞几何和持续时间决定。	ID | 名称 | 类型 | 归属 | CD(s) | 瞄准与几何 | 完整机制
109	paragraph	88	Normal		
110	paragraph	89	Heading 1		7 被动技能（44项）
111	paragraph	90	List Bullet		每名玩家最多4个被动槽；技能书空槽直接学习1级，同名未满5级则消耗书升1级。
112	paragraph	91	List Bullet		同名5级书不可拾取；四槽满时拾取不同名书必须明确选择被替换槽，取消则书留在地面公开。
113	paragraph	92	List Bullet		技能宝石进入HUD宝石仓，不占手牌且不能主动丢地；可自由分配给未满级被动；全部被动5级时拒绝拾取或购买。
114	paragraph	93	List Bullet		真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。
